word,pinyin,meaning,example,example-pinyin,example-meaning
爱,ài,yêu; tình yêu,我爱你。,Wǒ ài nǐ.,Tôi yêu bạn.
爱好,ài hào,sở thích,你有什么爱好？,Nǐ yǒu shénme àihào?,Bạn có sở thích gì?
八,bā,tám,我有八本书。,Wǒ yǒu bā běn shū.,Tôi có tám quyển sách.
爸爸,bàba,bố,爸爸在家。,Bàba zài jiā.,Bố ở nhà.
吧,ba,(trợ từ cảm thán),我们走吧！,Wǒmen zǒu ba!,Chúng ta đi thôi!
白,bái,trắng,她穿白衣服。,Tā chuān bái yīfu.,Cô ấy mặc áo trắng.
白天,bái tiān,ban ngày,白天我工作。,Báitiān wǒ gōngzuò.,Ban ngày tôi làm việc.
百,bǎi,trăm,这本书一百块。,Zhè běn shū yìbǎi kuài.,Quyển sách này một trăm đồng.
班,bān,lớp,我们班有二十人。,Wǒmen bān yǒu èrshí rén.,Lớp chúng tôi có 20 người.
半,bàn,một nửa,现在八点半。,Xiànzài bā diǎn bàn.,Bây giờ là 8 giờ rưỡi.
半年,bàn nián,nửa năm,我学了半年汉语。,Wǒ xuéle bànnián Hànyǔ.,Tôi đã học tiếng Trung nửa năm.
半天,bàn tiān,nửa ngày,我等了半天。,Wǒ děngle bàntiān.,Tôi đã đợi nửa ngày.
帮,bāng,giúp,请帮我。,Qǐng bāng wǒ.,Xin hãy giúp tôi.
帮忙,bāng máng,giúp đỡ,谢谢你帮忙！,Xièxie nǐ bāngmáng!,Cảm ơn bạn đã giúp đỡ!
包,bāo,gói; bao,这个包很好看。,Zhège bāo hěn hǎokàn.,Cái túi này rất đẹp.
包子,bāo zi,bánh bao,我想吃包子。,Wǒ xiǎng chī bāozi.,Tôi muốn ăn bánh bao.
杯,bēi,cốc,一杯水。,Yì bēi shuǐ.,Một cốc nước.
杯子,bēi zi,cái cốc,杯子在桌子上。,Bēizi zài zhuōzi shàng.,Cái cốc ở trên bàn.
北,běi,bắc,北边很冷。,Běibiān hěn lěng.,Phía bắc rất lạnh.
北边,běi biān,phía Bắc,学校在北边。,Xuéxiào zài běibiān.,Trường học ở phía bắc.
北京,běi jīng,Bắc Kinh,我去过北京。,Wǒ qùguo Běijīng.,Tôi đã đến Bắc Kinh.
本,běn,(lượng từ cho sách),我有三本书。,Wǒ yǒu sān běn shū.,Tôi có ba quyển sách.
本子,běn zi,quyển vở,这是我的本子。,Zhè shì wǒ de běnzi.,Đây là quyển vở của tôi.
比,bǐ,so sánh,他比我高。,Tā bǐ wǒ gāo.,Anh ấy cao hơn tôi.
别,bié,đừng,别走！,Bié zǒu!,Đừng đi!
别的,bié de,khác,你有别的吗？,Nǐ yǒu biéde ma?,Bạn có cái khác không?
别人,bié rén,người khác,别人都走了。,Biérén dōu zǒu le.,Người khác đều đi rồi.
病,bìng,bệnh tật,我生病了。,Wǒ shēngbìng le.,Tôi bị ốm.
病人,bìng rén,bệnh nhân,医院有很多病人。,Yīyuàn yǒu hěn duō bìngrén.,Bệnh viện có nhiều bệnh nhân.
不大,bú dà,không lớn,这个房间不大。,Zhège fángjiān bú dà.,Phòng này không lớn.
不对,bú duì,sai,你说的不对。,Nǐ shuō de búduì.,Bạn nói sai rồi.
不客气,bú kè qì,không có gì,不客气！,Bú kèqi!,Không có gì!
不用,bú yòng,không cần,不用谢！,Búyòng xiè!,Không cần cảm ơn!
不,bù,không,我不去。,Wǒ bú qù.,Tôi không đi.
菜,cài,món ăn; rau,这个菜很好吃。,Zhège cài hěn hǎochī.,Món này rất ngon.
茶,chá,trà,你喝茶吗？,Nǐ hē chá ma?,Bạn uống trà không?
差,chà,chênh lệch; kém,差五分八点。,Chà wǔ fēn bā diǎn.,Tám giờ kém năm phút.
常,cháng,thường,我常去图书馆。,Wǒ cháng qù túshūguǎn.,Tôi thường đến thư viện.
常常,cháng cháng,thường xuyên,她常常迟到。,Tā chángcháng chídào.,Cô ấy thường xuyên đi muộn.
唱,chàng,hát,他会唱中国歌。,Tā huì chàng Zhōngguó gē.,Anh ấy biết hát nhạc Trung Quốc.
唱歌,chàng gē,hát (bài hát),我喜欢唱歌。,Wǒ xǐhuan chànggē.,Tôi thích hát.
车,chē,xe,我没有车。,Wǒ méiyǒu chē.,Tôi không có xe.
车票,chē piào,vé xe,请给我一张车票。,Qǐng gěi wǒ yì zhāng chēpiào.,Xin cho tôi một vé xe.
车上,chē shàng,trên xe,在车上不能吃东西。,Zài chē shàng bùnéng chī dōngxi.,Không được ăn trên xe.
车站,chē zhàn,nhà ga; bến xe,车站在哪儿？,Chēzhàn zài nǎr?,Bến xe ở đâu?
吃,chī,ăn,我想吃饭。,Wǒ xiǎng chīfàn.,Tôi muốn ăn cơm.
吃饭,chī fàn,ăn cơm,你吃饭了吗？,Nǐ chīfàn le ma?,Bạn ăn cơm chưa?
出,chū,ra,请出来！,Qǐng chūlái!,Xin hãy ra đây!
出来,chū lái,đi ra; ra ngoài,他从房间出来了。,Tā cóng fángjiān chūlái le.,Anh ấy đi ra từ phòng.
出去,chū qù,đi ra ngoài,我想出去玩儿。,Wǒ xiǎng chūqù wánr.,Tôi muốn ra ngoài chơi.
穿,chuān,mặc,今天穿什么？,Jīntiān chuān shénme?,Hôm nay mặc gì?
床,chuáng,giường,床很大。,Chuáng hěn dà.,Giường rất lớn.
次,cì,(lượng từ cho số lần),这是第一次。,Zhè shì dì yī cì.,Đây là lần đầu tiên.
从,cóng,từ,我从中国来。,Wǒ cóng Zhōngguó lái.,Tôi đến từ Trung Quốc.
错,cuò,sai,我错了。,Wǒ cuò le.,Tôi sai rồi.
打,dǎ,đánh; lấy,别打人！,Bié dǎ rén!,Đừng đánh người!
打车,dǎ chē,bắt taxi,我们打车去吧。,Wǒmen dǎchē qù ba.,Chúng ta bắt taxi đi.
打电话,dǎ diàn huà,gọi điện thoại,我给你打电话。,Wǒ gěi nǐ dǎ diànhuà.,Tôi sẽ gọi điện cho bạn.
打开,dǎ kāi,mở,请打开门。,Qǐng dǎkāi mén.,Xin hãy mở cửa.
打球,dǎ qiú,chơi bóng,你喜欢打球吗？,Nǐ xǐhuan dǎqiú ma?,Bạn thích chơi bóng không?
大,dà,lớn; to,这个房子很大。,Zhège fángzi hěn dà.,Ngôi nhà này rất lớn.
大学,dà xué,đại học,我在大学学习。,Wǒ zài dàxué xuéxí.,Tôi học ở đại học.
大学生,dà xué shēng,sinh viên đại học,他是大学生。,Tā shì dàxuéshēng.,Anh ấy là sinh viên đại học.
到,dào,đến,我到家了。,Wǒ dào jiā le.,Tôi đã về đến nhà.
得到,dé dào,đạt được,他得到了一本书。,Tā dédào le yì běn shū.,Anh ấy nhận được một quyển sách.
地 (trợ từ),de,trợ từ,他高兴地笑了。,Tā gāoxìng de xiào le.,Anh ấy vui vẻ cười.
的,de,(trợ từ),这是我的书。,Zhè shì wǒ de shū.,Đây là sách của tôi.
等,děng,đợi,请等一下。,Qǐng děng yíxià.,Xin đợi một chút.
地,dì,đất,地上有水。,Dì shàng yǒu shuǐ.,Trên đất có nước.
地点,dì diǎn,địa điểm,地点在哪儿？,Dìdiǎn zài nǎr?,Địa điểm ở đâu?
地方,dì fang,địa phương,这个地方很美。,Zhège dìfang hěn měi.,Nơi này rất đẹp.
地上,dì shàng,trên mặt đất,书在地上。,Shū zài dìshàng.,Sách ở trên đất.
地图,dì tú,bản đồ,我要买一张地图。,Wǒ yào mǎi yì zhāng dìtú.,Tôi muốn mua một tấm bản đồ.
弟弟,dì di,em trai,我弟弟十岁。,Wǒ dìdi shí suì.,Em trai tôi mười tuổi.
第,dì,thứ (thứ hai…),他是第一名。,Tā shì dì yī míng.,Anh ấy đứng thứ nhất.
点,diǎn,điểm; giờ,现在几点？,Xiànzài jǐ diǎn?,Bây giờ mấy giờ?
电,diàn,điện,没有电了。,Méiyǒu diàn le.,Hết điện rồi.
电话,diàn huà,điện thoại,你的电话号码是多少？,Nǐ de diànhuà hàomǎ shì duōshao?,Số điện thoại của bạn là bao nhiêu?
电脑,diàn nǎo,máy tính,我用电脑工作。,Wǒ yòng diànnǎo gōngzuò.,Tôi dùng máy tính làm việc.
电视,diàn shì,vô tuyến,我在看电视。,Wǒ zài kàn diànshì.,Tôi đang xem tivi.
电视机,diàn shì jī,tivi,这台电视机是新的。,Zhè tái diànshìjī shì xīn de.,Chiếc tivi này là mới.
电影,diàn yǐng,phim,你喜欢看电影吗？,Nǐ xǐhuan kàn diànyǐng ma?,Bạn thích xem phim không?
电影院,diàn yǐng yuàn,rạp chiếu phim,电影院在哪儿？,Diànyǐngyuàn zài nǎr?,Rạp chiếu phim ở đâu?
东,dōng,đông,太阳从东边升起。,Tàiyáng cóng dōngbiān shēngqǐ.,Mặt trời mọc từ phía đông.
东边,dōng biān,phía đông,我家在东边。,Wǒ jiā zài dōngbiān.,Nhà tôi ở phía đông.
东西,dōng xi,đồ vật,这是什么东西？,Zhè shì shénme dōngxi?,Đây là cái gì?
动,dòng,di chuyển,别动！,Bié dòng!,Đừng động!
动作,dòng zuò,hành động,他的动作很快。,Tā de dòngzuò hěn kuài.,Hành động của anh ấy rất nhanh.
都,dōu,tất cả,我们都是学生。,Wǒmen dōu shì xuésheng.,Chúng tôi đều là học sinh.
读,dú,đọc,我在读书。,Wǒ zài dúshū.,Tôi đang đọc sách.
读书,dú shū,đọc sách; học,他喜欢读书。,Tā xǐhuan dúshū.,Anh ấy thích đọc sách.
对,duì,đúng,你说得对。,Nǐ shuō de duì.,Bạn nói đúng.
对不起,duì bu qǐ,xin lỗi,对不起，我迟到了。,Duìbuqǐ wǒ chídào le.,Xin lỗi tôi đến muộn.
多,duō,nhiều,你有多少钱？,Nǐ yǒu duōshao qián?,Bạn có bao nhiêu tiền?
多少,duō shao,bao nhiêu,这个多少钱？,Zhège duōshao qián?,Cái này bao nhiêu tiền?
饿,è,đói,我饿了。,Wǒ è le.,Tôi đói rồi.
儿子,ér zi,con trai,他的儿子很可爱。,Tā de érzi hěn kě'ài.,Con trai anh ấy rất đáng yêu.
二,èr,hai,我有二本书。,Wǒ yǒu èr běn shū.,Tôi có hai quyển sách.
饭,fàn,cơm; bữa ăn,饭做好了。,Fàn zuòhǎo le.,Cơm nấu xong rồi.
饭店,fàn diàn,nhà hàng,我们去饭店吃饭吧。,Wǒmen qù fàndiàn chīfàn ba.,Chúng ta đến nhà hàng ăn đi.
房间,fángjiān,phòng,这个房间很大。,Zhège fángjiān hěn dà.,Phòng này rất lớn.
房子,fáng zi,nhà; tòa nhà,他买了一个房子。,Tā mǎile yí gè fángzi.,Anh ấy đã mua một căn nhà.
放,fàng,thả; đặt,请把书放在桌子上。,Qǐng bǎ shū fàng zài zhuōzi shàng.,Xin hãy đặt sách lên bàn.
放假,fàng jià,nghỉ lễ; có ngày nghỉ,明天放假。,Míngtiān fàngjià.,Ngày mai nghỉ lễ.
放学,fàng xué,tan học,我们三点放学。,Wǒmen sān diǎn fàngxué.,Chúng tôi tan học lúc 3 giờ.
飞,fēi,bay,鸟在天上飞。,Niǎo zài tiān shàng fēi.,Chim bay trên trời.
飞机,fēijī,máy bay,飞机几点起飞？,Fēijī jǐ diǎn qǐfēi?,Máy bay mấy giờ cất cánh?
非常,fēicháng,rất; vô cùng,我非常喜欢你。,Wǒ fēicháng xǐhuan nǐ.,Tôi rất thích bạn.
分,fēn,phút; điểm; phần,现在八点十分。,Xiànzài bā diǎn shí fēn.,Bây giờ là 8 giờ 10 phút.
风,fēng,gió,今天风很大。,Jīntiān fēng hěn dà.,Hôm nay gió rất to.
干,gān,khô,衣服干了。,Yīfu gān le.,Quần áo khô rồi.
干净,gānjìng,sạch sẽ,房间很干净。,Fángjiān hěn gānjìng.,Phòng rất sạch sẽ.
干,gàn,làm,你在干什么？,Nǐ zài gàn shénme?,Bạn đang làm gì?
干什么,gàn shénme,làm gì,你干什么工作？,Nǐ gàn shénme gōngzuò?,Bạn làm nghề gì?
高,gāo,cao,他很高。,Tā hěn gāo.,Anh ấy rất cao.
高兴,gāoxìng,vui vẻ,见到你很高兴。,Jiàndào nǐ hěn gāoxìng.,Rất vui được gặp bạn.
告诉,gàosu,nói; bảo,请告诉我。,Qǐng gàosu wǒ.,Xin hãy nói cho tôi biết.
哥哥,gē ge,anh trai,我哥哥二十岁。,Wǒ gēge èrshí suì.,Anh trai tôi 20 tuổi.
歌,gē,bài hát,这首歌很好听。,Zhè shǒu gē hěn hǎotīng.,Bài hát này rất hay.
个,gè,cái; chiếc,我要一个苹果。,Wǒ yào yí gè píngguǒ.,Tôi muốn một quả táo.
给,gěi,cho,请给我一杯水。,Qǐng gěi wǒ yì bēi shuǐ.,Xin cho tôi một cốc nước.
跟,gēn,với,我跟你一起去。,Wǒ gēn nǐ yìqǐ qù.,Tôi đi cùng với bạn.
工人,gōngrén,công nhân,他是工人。,Tā shì gōngrén.,Anh ấy là công nhân.
工作,gōngzuò,công việc; làm việc,你在哪儿工作？,Nǐ zài nǎr gōngzuò?,Bạn làm việc ở đâu?
关,guān,đóng; tắt,请关门。,Qǐng guān mén.,Xin hãy đóng cửa.
关上,guān shàng,đóng lại; tắt,请把灯关上。,Qǐng bǎ dēng guānshàng.,Xin hãy tắt đèn.
贵,guì,đắt,这个太贵了。,Zhège tài guì le.,Cái này quá đắt.
国,guó,quốc gia,你是哪国人？,Nǐ shì nǎ guó rén?,Bạn là người nước nào?
国家,guójiā,đất nước,中国是一个大国家。,Zhōngguó shì yí gè dà guójiā.,Trung Quốc là một đất nước lớn.
国外,guó wài,nước ngoài,他在国外工作。,Tā zài guówài gōngzuò.,Anh ấy làm việc ở nước ngoài.
过,guò,qua,时间过得很快。,Shíjiān guò de hěn kuài.,Thời gian trôi qua rất nhanh.
还,hái,còn; vẫn,我还没吃饭。,Wǒ hái méi chīfàn.,Tôi vẫn chưa ăn cơm.
还是,háishi,hay là,你喝茶还是咖啡？,Nǐ hē chá háishi kāfēi?,Bạn uống trà hay cà phê?
还有,hái yǒu,còn có; ngoài ra,还有别的吗？,Hái yǒu biéde ma?,Còn có cái khác không?
孩子,háizi,trẻ em,孩子们在玩儿。,Háizimen zài wánr.,Bọn trẻ đang chơi.
汉语,hànyǔ,tiếng Hán,我在学汉语。,Wǒ zài xué Hànyǔ.,Tôi đang học tiếng Hán.
汉字,hàn zì,chữ Hán,汉字很难写。,Hànzì hěn nán xiě.,Chữ Hán rất khó viết.
好,hǎo,tốt,你好！,Nǐ hǎo!,Xin chào!
好吃,hǎochī,ngon,这个菜很好吃。,Zhège cài hěn hǎochī.,Món này rất ngon.
好看,hǎo kàn,đẹp,这件衣服很好看。,Zhè jiàn yīfu hěn hǎokàn.,Chiếc áo này rất đẹp.
好听,hǎo tīng,hay (nghe),这首歌很好听。,Zhè shǒu gē hěn hǎotīng.,Bài hát này rất hay.
好玩儿,hǎo wánr,vui; thú vị,这个游戏很好玩儿。,Zhège yóuxì hěn hǎowánr.,Trò chơi này rất thú vị.
号,hào,số; ngày,今天几号？,Jīntiān jǐ hào?,Hôm nay ngày mấy?
喝,hē,uống,我想喝水。,Wǒ xiǎng hē shuǐ.,Tôi muốn uống nước.
和,hé,và,我和他是朋友。,Wǒ hé tā shì péngyou.,Tôi và anh ấy là bạn bè.
很,hěn,rất,她很漂亮。,Tā hěn piàoliang.,Cô ấy rất xinh đẹp.
后,hòu,sau; đằng sau,学校在后边。,Xuéxiào zài hòubiān.,Trường học ở phía sau.
后边,hòu biān,phía sau,我家在后边。,Wǒ jiā zài hòubiān.,Nhà tôi ở phía sau.
后天,hòu tiān,ngày kia,后天我去北京。,Hòutiān wǒ qù Běijīng.,Ngày kia tôi đi Bắc Kinh.
花,huā,hoa,这朵花很美。,Zhè duǒ huā hěn měi.,Bông hoa này rất đẹp.
话,huà,lời nói,他说的话是对的。,Tā shuō de huà shì duì de.,Lời anh ấy nói là đúng.
坏,huài,hỏng; xấu,电脑坏了。,Diànnǎo huài le.,Máy tính hỏng rồi.
还,huán,trả lại,请把书还给我。,Qǐng bǎ shū huán gěi wǒ.,Xin trả sách lại cho tôi.
回,huí,về; trở lại,我要回家。,Wǒ yào huí jiā.,Tôi muốn về nhà.
回答,huídá,trả lời,请回答我的问题。,Qǐng huídá wǒ de wèntí.,Xin hãy trả lời câu hỏi của tôi.
回到,huí dào,trở về,他回到了家。,Tā huídào le jiā.,Anh ấy đã trở về nhà.
回家,huí jiā,về nhà,我想回家。,Wǒ xiǎng huí jiā.,Tôi muốn về nhà.
回来,huí lái,trở lại,他回来了。,Tā huílái le.,Anh ấy đã trở lại.
回去,huí qù,trở về,我要回去了。,Wǒ yào huíqù le.,Tôi phải trở về rồi.
会,huì,có thể,你会说汉语吗？,Nǐ huì shuō Hànyǔ ma?,Bạn có thể nói tiếng Hán không?
火车,huǒ chē,tàu hỏa,火车几点到？,Huǒchē jǐ diǎn dào?,Tàu hỏa mấy giờ đến?
机场,jīchǎng,sân bay,机场离这儿远吗？,Jīchǎng lí zhèr yuǎn ma?,Sân bay cách đây xa không?
机票,jī piào,vé máy bay,我买了一张机票。,Wǒ mǎile yì zhāng jīpiào.,Tôi đã mua một vé máy bay.
鸡蛋,jīdàn,trứng gà,我想吃鸡蛋。,Wǒ xiǎng chī jīdàn.,Tôi muốn ăn trứng gà.
几,jǐ,vài; mấy,你有几本书？,Nǐ yǒu jǐ běn shū?,Bạn có mấy quyển sách?
记,jì,nhớ,我记不住。,Wǒ jì bú zhù.,Tôi nhớ không được.
记得,jìdé,nhớ,你还记得我吗？,Nǐ hái jìde wǒ ma?,Bạn còn nhớ tôi không?
记住,jì zhù,ghi nhớ,请记住这个号码。,Qǐng jìzhù zhège hàomǎ.,Xin hãy ghi nhớ số này.
家,jiā,nhà,我家在北京。,Wǒ jiā zài Běijīng.,Nhà tôi ở Bắc Kinh.
家里,jiā lǐ,trong nhà,家里有人吗？,Jiālǐ yǒu rén ma?,Trong nhà có ai không?
家人,jiā rén,gia đình,我的家人都很好。,Wǒ de jiārén dōu hěn hǎo.,Gia đình tôi đều rất tốt.
间,jiān,giữa; lượng từ cho phòng,我要一间房间。,Wǒ yào yì jiān fángjiān.,Tôi muốn một phòng.
见,jiàn,thấy; gặp,很高兴见到你。,Hěn gāoxìng jiàndào nǐ.,Rất vui được gặp bạn.
见面,jiànmiàn,gặp mặt,我们明天见面吧。,Wǒmen míngtiān jiànmiàn ba.,Chúng ta ngày mai gặp mặt nhé.
教,jiāo,dạy,他教我汉语。,Tā jiāo wǒ Hànyǔ.,Anh ấy dạy tôi tiếng Hán.
叫,jiào,gọi; được gọi là,我叫小明。,Wǒ jiào Xiǎomíng.,Tôi tên là Tiểu Minh.
教学楼,jiào xué lóu,tòa nhà giảng dạy,教学楼在那边。,Jiàoxuélóu zài nàbiān.,Tòa nhà giảng dạy ở đằng kia.
姐姐,jiě jie,chị gái,我姐姐是老师。,Wǒ jiějie shì lǎoshī.,Chị gái tôi là giáo viên.
介绍,jièshào,giới thiệu,请你介绍一下。,Qǐng nǐ jièshào yíxià.,Xin bạn giới thiệu một chút.
今年,jīn nián,năm nay,今年我二十岁。,Jīnnián wǒ èrshí suì.,Năm nay tôi 20 tuổi.
今天,jīntiān,hôm nay,今天天气很好。,Jīntiān tiānqì hěn hǎo.,Hôm nay thời tiết rất đẹp.
进,jìn,vào,请进！,Qǐng jìn!,Mời vào!
进来,jìn lái,vào trong,请进来坐。,Qǐng jìnlái zuò.,Mời vào ngồi.
进去,jìn qù,đi vào,我们进去看看。,Wǒmen jìnqù kànkan.,Chúng ta vào xem thử.
九,jiǔ,chín,我有九本书。,Wǒ yǒu jiǔ běn shū.,Tôi có chín quyển sách.
就,jiù,ngay lập tức; thì,我就来。,Wǒ jiù lái.,Tôi đến ngay.
觉得,juéde,cảm thấy; cho rằng,我觉得很好。,Wǒ juéde hěn hǎo.,Tôi cảm thấy rất tốt.
开,kāi,mở,请开门。,Qǐng kāi mén.,Xin hãy mở cửa.
开车,kāi chē,lái xe,你会开车吗？,Nǐ huì kāichē ma?,Bạn có biết lái xe không?
开会,kāi huì,họp,我们明天开会。,Wǒmen míngtiān kāihuì.,Chúng tôi ngày mai họp.
开玩笑,kāi wán xiào,đùa,我在开玩笑。,Wǒ zài kāi wánxiào.,Tôi đang đùa.
看,kàn,xem,你在看什么？,Nǐ zài kàn shénme?,Bạn đang xem gì?
看病,kàn bìng,khám bệnh,我要去看病。,Wǒ yào qù kànbìng.,Tôi cần đi khám bệnh.
看到,kàn dào,nhìn thấy,我看到他了。,Wǒ kàndào tā le.,Tôi đã nhìn thấy anh ấy.
看见,kànjiàn,nhìn thấy,你看见我的书了吗？,Nǐ kànjiàn wǒ de shū le ma?,Bạn có nhìn thấy sách của tôi không?
考,kǎo,kiểm tra; thi,明天考汉语。,Míngtiān kǎo Hànyǔ.,Ngày mai thi tiếng Hán.
考试,kǎoshì,kỳ thi,考试很难。,Kǎoshì hěn nán.,Kỳ thi rất khó.
渴,kě,khát,我渴了。,Wǒ kě le.,Tôi khát rồi.
课,kè,bài học,今天有几节课？,Jīntiān yǒu jǐ jié kè?,Hôm nay có mấy tiết học?
课本,kè běn,sách giáo khoa,请打开课本。,Qǐng dǎkāi kèběn.,Xin hãy mở sách giáo khoa.
课文,kè wén,bài khóa,请读课文。,Qǐng dú kèwén.,Xin hãy đọc bài khóa.
口,kǒu,miệng,我口渴了。,Wǒ kǒu kě le.,Tôi khát nước.
块,kuài,khối; đồng (tiền),这个苹果两块钱。,Zhège píngguǒ liǎng kuài qián.,Quả táo này hai đồng.
快,kuài,nhanh,他跑得很快。,Tā pǎo de hěn kuài.,Anh ấy chạy rất nhanh.
来,lái,đến,请来这儿。,Qǐng lái zhèr.,Xin hãy đến đây.
来到,lái dào,đến; tới,我来到了中国。,Wǒ láidào le Zhōngguó.,Tôi đã đến Trung Quốc.
老,lǎo,già,他很老了。,Tā hěn lǎo le.,Ông ấy rất già rồi.
老人,lǎo rén,người già,老人在公园里。,Lǎorén zài gōngyuán lǐ.,Người già ở trong công viên.
老师,lǎoshī,giáo viên,老师好！,Lǎoshī hǎo!,Chào thầy/cô!
了,le,trợ từ quá khứ,我吃了。,Wǒ chī le.,Tôi ăn rồi.
累,lèi,mệt,我很累。,Wǒ hěn lèi.,Tôi rất mệt.
冷,lěng,lạnh,今天很冷。,Jīntiān hěn lěng.,Hôm nay rất lạnh.
里,lǐ,trong,房间里有人。,Fángjiān lǐ yǒu rén.,Trong phòng có người.
里边,lǐ biān,bên trong,请到里边坐。,Qǐng dào lǐbiān zuò.,Mời vào bên trong ngồi.
两,liǎng,hai,我有两本书。,Wǒ yǒu liǎng běn shū.,Tôi có hai quyển sách.
零｜〇,líng,số không,零下十度。,Língxià shí dù.,Âm mười độ.
六,liù,sáu,我六点起床。,Wǒ liù diǎn qǐchuáng.,Tôi thức dậy lúc 6 giờ.
楼,lóu,tầng; lầu,我住在三楼。,Wǒ zhù zài sān lóu.,Tôi sống ở tầng ba.
楼上,lóu shàng,trên lầu,他在楼上。,Tā zài lóushàng.,Anh ấy ở trên lầu.
楼下,lóu xià,dưới lầu,楼下有商店。,Lóuxià yǒu shāngdiàn.,Dưới lầu có cửa hàng.
路,lù,đường,这条路很长。,Zhè tiáo lù hěn cháng.,Con đường này rất dài.
路口,lù kǒu,ngã tư; giao lộ,在路口左转。,Zài lùkǒu zuǒ zhuǎn.,Rẽ trái ở ngã tư.
路上,lù shàng,trên đường,路上小心！,Lùshàng xiǎoxīn!,Cẩn thận trên đường!
妈妈｜妈,māma ｜ mā,mẹ,妈妈在做饭。,Māma zài zuòfàn.,Mẹ đang nấu cơm.
马路,mǎ lù,đường; phố,马路很宽。,Mǎlù hěn kuān.,Đường phố rất rộng.
马上,mǎshàng,ngay lập tức,我马上来。,Wǒ mǎshàng lái.,Tôi đến ngay.
吗,ma,trợ từ nghi vấn,你好吗？,Nǐ hǎo ma?,Bạn có khỏe không?
买,mǎi,mua,我要买书。,Wǒ yào mǎi shū.,Tôi muốn mua sách.
慢,màn,chậm,请说慢一点。,Qǐng shuō màn yìdiǎn.,Xin nói chậm một chút.
忙,máng,bận,我很忙。,Wǒ hěn máng.,Tôi rất bận.
毛,máo,đơn vị tiền tệ Trung Quốc,一块五毛钱。,Yí kuài wǔ máo qián.,Một đồng năm hào.
没,méi,không,我没去。,Wǒ méi qù.,Tôi không đi.
没关系,méiguānxi,không sao,没关系！,Méiguānxi!,Không sao!
没什么,méi shén me,không có gì,没什么事。,Méi shénme shì.,Không có gì.
没事儿,méi shìr,không sao,没事儿，别担心。,Méi shìr, bié dānxīn.,Không sao, đừng lo.
没有,méi yǒu,không có,我没有钱。,Wǒ méiyǒu qián.,Tôi không có tiền.
妹妹｜妹,mèimei ｜ mèi,em gái,我妹妹很可爱。,Wǒ mèimei hěn kě'ài.,Em gái tôi rất đáng yêu.
门,mén,cửa,请开门。,Qǐng kāi mén.,Xin hãy mở cửa.
门口,mén kǒu,cửa ra vào,我在门口等你。,Wǒ zài ménkǒu děng nǐ.,Tôi đợi bạn ở cửa.
门票,mén piào,vé vào cửa,门票多少钱？,Ménpiào duōshao qián?,Vé vào cửa bao nhiêu tiền?
们（朋友们）,men (péngyou men),hậu tố số nhiều (bạn bè),同学们好！,Tóngxuémen hǎo!,Chào các bạn học!
米饭,mǐfàn,cơm trắng,我想吃米饭。,Wǒ xiǎng chī mǐfàn.,Tôi muốn ăn cơm.
面包,miànbāo,bánh mì,我喜欢吃面包。,Wǒ xǐhuan chī miànbāo.,Tôi thích ăn bánh mì.
面条儿,miàn tiáor,mì sợi,今天吃面条儿吧。,Jīntiān chī miàntiáor ba.,Hôm nay ăn mì nhé.
名字,míngzi,tên,你叫什么名字？,Nǐ jiào shénme míngzi?,Bạn tên là gì?
