word,pinyin,meaning,example,example-pinyin,example-meaning
明白,míngbai,hiểu; rõ ràng,我明白了。,Wǒ míngbai le.,Tôi hiểu rồi.
明年,míng nián,năm sau,明年我去中国。,Míngnián wǒ qù Zhōngguó.,Năm sau tôi đi Trung Quốc.
明天,míngtiān,ngày mai,明天见！,Míngtiān jiàn!,Ngày mai gặp lại!
拿,ná,cầm; lấy,请拿这个。,Qǐng ná zhège.,Xin hãy lấy cái này.
哪,nǎ,nào,你去哪？,Nǐ qù nǎ?,Bạn đi đâu?
哪里,nǎ lǐ,ở đâu,你家在哪里？,Nǐ jiā zài nǎlǐ?,Nhà bạn ở đâu?
哪儿,nǎr,ở đâu,洗手间在哪儿？,Xǐshǒujiān zài nǎr?,Nhà vệ sinh ở đâu?
哪些,nǎ xiē,những cái nào,你喜欢哪些？,Nǐ xǐhuan nǎxiē?,Bạn thích những cái nào?
那,nà,đó,那是什么？,Nà shì shénme?,Đó là cái gì?
那边,nà biān,ở đó,他在那边。,Tā zài nàbiān.,Anh ấy ở đằng kia.
那里,nà lǐ,ở đó,那里很美。,Nàlǐ hěn měi.,Ở đó rất đẹp.
那儿,nàr,ở đó,我想去那儿。,Wǒ xiǎng qù nàr.,Tôi muốn đến đó.
那些,nà xiē,những cái đó,那些是我的书。,Nàxiē shì wǒ de shū.,Những cái đó là sách của tôi.
奶,nǎi,sữa,我喝奶。,Wǒ hē nǎi.,Tôi uống sữa.
奶奶,nǎinai,bà nội,奶奶在家。,Nǎinai zài jiā.,Bà nội ở nhà.
男,nán,nam,他是男生。,Tā shì nánshēng.,Anh ấy là nam sinh.
男孩儿,nán háir,bé trai,那个男孩儿很高。,Nàge nánháir hěn gāo.,Cậu bé đó rất cao.
男朋友,nán péng yǒu,bạn trai,她有男朋友。,Tā yǒu nánpéngyou.,Cô ấy có bạn trai.
男人,nán ren,đàn ông,那个男人是谁？,Nàge nánrén shì shéi?,Người đàn ông đó là ai?
男生,nán shēng,nam sinh,班上有十个男生。,Bān shàng yǒu shí gè nánshēng.,Lớp có mười nam sinh.
南,nán,nam,我家在南边。,Wǒ jiā zài nánbiān.,Nhà tôi ở phía nam.
南边,nán biān,phía nam,学校在南边。,Xuéxiào zài nánbiān.,Trường học ở phía nam.
难,nán,khó,汉语很难。,Hànyǔ hěn nán.,Tiếng Hán rất khó.
呢,ne,trợ từ,你呢？,Nǐ ne?,Còn bạn thì sao?
能,néng,có thể,你能帮我吗？,Nǐ néng bāng wǒ ma?,Bạn có thể giúp tôi không?
你,nǐ,bạn,你好！,Nǐ hǎo!,Xin chào!
你们,nǐ men,các bạn,你们好！,Nǐmen hǎo!,Chào các bạn!
年,nián,năm,今年是哪一年？,Jīnnián shì nǎ yì nián?,Năm nay là năm nào?
您,nín,ông/bà/ngài (kính ngữ),您好！,Nín hǎo!,Xin chào (kính ngữ)!
牛奶,niúnǎi,sữa bò,我喝牛奶。,Wǒ hē niúnǎi.,Tôi uống sữa bò.
女,nǚ,nữ,她是女生。,Tā shì nǚshēng.,Cô ấy là nữ sinh.
女儿,nǚ'ér,con gái,她是我女儿。,Tā shì wǒ nǚ'ér.,Cô ấy là con gái tôi.
女孩儿,nǚ háir,bé gái,那个女孩儿很漂亮。,Nàge nǚháir hěn piàoliang.,Cô bé đó rất xinh đẹp.
女朋友,nǚ péng yǒu,bạn gái,他有女朋友。,Tā yǒu nǚpéngyou.,Anh ấy có bạn gái.
女人,nǚ ren,phụ nữ,那个女人是老师。,Nàge nǚrén shì lǎoshī.,Người phụ nữ đó là giáo viên.
女生,nǚ shēng,nữ sinh,班上有十五个女生。,Bān shàng yǒu shíwǔ gè nǚshēng.,Lớp có mười lăm nữ sinh.
旁边,pángbiān,bên cạnh,我坐在他旁边。,Wǒ zuò zài tā pángbiān.,Tôi ngồi bên cạnh anh ấy.
跑,pǎo,chạy,他跑得很快。,Tā pǎo de hěn kuài.,Anh ấy chạy rất nhanh.
朋友,péngyou,bạn bè,他是我的朋友。,Tā shì wǒ de péngyou.,Anh ấy là bạn tôi.
票,piào,vé,请给我一张票。,Qǐng gěi wǒ yì zhāng piào.,Xin cho tôi một vé.
七,qī,bảy,我七点上班。,Wǒ qī diǎn shàngbān.,Tôi đi làm lúc 7 giờ.
起,qǐ,đứng dậy; bắt đầu; lên,他站起来了。,Tā zhàn qǐlái le.,Anh ấy đứng dậy rồi.
起床,qǐchuáng,thức dậy,我六点起床。,Wǒ liù diǎn qǐchuáng.,Tôi thức dậy lúc 6 giờ.
起来,qǐlái,đứng dậy,请起来！,Qǐng qǐlái!,Xin hãy đứng dậy!
汽车,qì chē,ô tô,他有一辆汽车。,Tā yǒu yí liàng qìchē.,Anh ấy có một chiếc ô tô.
前,qián,trước,请往前走。,Qǐng wǎng qián zǒu.,Xin đi về phía trước.
前边,qián biān,phía trước,学校在前边。,Xuéxiào zài qiánbiān.,Trường học ở phía trước.
前天,qián tiān,ngày hôm kia,前天我去北京了。,Qiántiān wǒ qù Běijīng le.,Hôm kia tôi đi Bắc Kinh.
钱,qián,tiền,你有钱吗？,Nǐ yǒu qián ma?,Bạn có tiền không?
钱包,qián bāo,ví,我的钱包在哪儿？,Wǒ de qiánbāo zài nǎr?,Ví của tôi ở đâu?
请,qǐng,xin mời,请坐！,Qǐng zuò!,Mời ngồi!
请假,qǐngjià,xin nghỉ phép,我想请假。,Wǒ xiǎng qǐngjià.,Tôi muốn xin nghỉ phép.
请进,qǐng jìn,mời vào,请进！,Qǐng jìn!,Mời vào!
请问,qǐng wèn,xin hỏi,请问，几点了？,Qǐngwèn, jǐ diǎn le?,Xin hỏi, mấy giờ rồi?
请坐,qǐng zuò,mời ngồi,请坐！,Qǐng zuò!,Mời ngồi!
球,qiú,bóng,我喜欢打球。,Wǒ xǐhuan dǎqiú.,Tôi thích chơi bóng.
去,qù,đi,我去学校。,Wǒ qù xuéxiào.,Tôi đi đến trường.
去年,qùnián,năm ngoái,去年我去中国了。,Qùnián wǒ qù Zhōngguó le.,Năm ngoái tôi đã đi Trung Quốc.
热,rè,nóng,今天很热。,Jīntiān hěn rè.,Hôm nay rất nóng.
人,rén,người,这里有很多人。,Zhèlǐ yǒu hěn duō rén.,Ở đây có rất nhiều người.
认识,rènshi,quen biết,很高兴认识你。,Hěn gāoxìng rènshi nǐ.,Rất vui được quen biết bạn.
认真,rènzhēn,nghiêm túc,他学习很认真。,Tā xuéxí hěn rènzhēn.,Anh ấy học rất nghiêm túc.
日,rì,ngày,今天几月几日？,Jīntiān jǐ yuè jǐ rì?,Hôm nay ngày mấy tháng mấy?
日期,rìqī,ngày tháng,日期是什么？,Rìqī shì shénme?,Ngày tháng là gì?
肉,ròu,thịt,我想吃肉。,Wǒ xiǎng chī ròu.,Tôi muốn ăn thịt.
三,sān,ba,我有三个朋友。,Wǒ yǒu sān gè péngyou.,Tôi có ba người bạn.
山,shān,núi,山很高。,Shān hěn gāo.,Núi rất cao.
商场,shāng chǎng,trung tâm thương mại,我们去商场吧。,Wǒmen qù shāngchǎng ba.,Chúng ta đến trung tâm thương mại đi.
商店,shāngdiàn,cửa hàng,商店在哪儿？,Shāngdiàn zài nǎr?,Cửa hàng ở đâu?
上,shàng,trên,书在桌子上。,Shū zài zhuōzi shàng.,Sách ở trên bàn.
上班,shàngbān,đi làm,我八点上班。,Wǒ bā diǎn shàngbān.,Tôi đi làm lúc 8 giờ.
上边,shàng biān,bên trên,书在上边。,Shū zài shàngbiān.,Sách ở bên trên.
上车,shàng chē,lên xe,请上车！,Qǐng shàngchē!,Mời lên xe!
上次,shàng cì,lần trước,上次我去了北京。,Shàngcì wǒ qù le Běijīng.,Lần trước tôi đã đi Bắc Kinh.
上课,shàng kè,lên lớp; có tiết học,我们八点上课。,Wǒmen bā diǎn shàngkè.,Chúng tôi lên lớp lúc 8 giờ.
上网,shàngwǎng,lướt mạng,我喜欢上网。,Wǒ xǐhuan shàngwǎng.,Tôi thích lướt mạng.
上午,shàngwǔ,buổi sáng,上午我上课。,Shàngwǔ wǒ shàngkè.,Buổi sáng tôi lên lớp.
上学,shàng xué,đi học,我每天上学。,Wǒ měitiān shàngxué.,Tôi đi học mỗi ngày.
少,shǎo,ít,人很少。,Rén hěn shǎo.,Người rất ít.
谁,shéi,ai,他是谁？,Tā shì shéi?,Anh ấy là ai?
身上,shēn shàng,trên người,我身上没有钱。,Wǒ shēnshàng méiyǒu qián.,Tôi không có tiền trên người.
身体,shēntǐ,cơ thể; sức khỏe,他身体很好。,Tā shēntǐ hěn hǎo.,Sức khỏe anh ấy rất tốt.
什么,shénme,cái gì,这是什么？,Zhè shì shénme?,Đây là cái gì?
生病,shēngbìng,bị ốm,我生病了。,Wǒ shēngbìng le.,Tôi bị ốm rồi.
生气,shēngqì,tức giận,别生气！,Bié shēngqì!,Đừng tức giận!
生日,shēngrì,sinh nhật,生日快乐！,Shēngrì kuàilè!,Chúc mừng sinh nhật!
十,shí,mười,我十岁。,Wǒ shí suì.,Tôi mười tuổi.
时候,shíhou,lúc; khi,你什么时候来？,Nǐ shénme shíhou lái?,Bạn đến lúc nào?
时间,shíjiān,thời gian,我没有时间。,Wǒ méiyǒu shíjiān.,Tôi không có thời gian.
事,shì,việc,你有什么事？,Nǐ yǒu shénme shì?,Bạn có việc gì?
试,shì,thử,我试一试。,Wǒ shì yí shì.,Tôi thử xem.
是,shì,là; phải,他是学生。,Tā shì xuésheng.,Anh ấy là học sinh.
是不是,shì bú shì,có phải không?,你是不是中国人？,Nǐ shì bú shì Zhōngguó rén?,Bạn có phải là người Trung Quốc không?
手,shǒu,tay,请洗手。,Qǐng xǐ shǒu.,Xin hãy rửa tay.
手机,shǒujī,điện thoại di động,我的手机在哪儿？,Wǒ de shǒujī zài nǎr?,Điện thoại của tôi ở đâu?
书,shū,sách,我喜欢读书。,Wǒ xǐhuan dúshū.,Tôi thích đọc sách.
书包,shū bāo,cặp sách,我的书包是蓝色的。,Wǒ de shūbāo shì lánsè de.,Cặp sách của tôi màu xanh.
书店,shū diàn,hiệu sách,书店在哪儿？,Shūdiàn zài nǎr?,Hiệu sách ở đâu?
树,shù,cây,树很高。,Shù hěn gāo.,Cây rất cao.
水,shuǐ,nước,我想喝水。,Wǒ xiǎng hē shuǐ.,Tôi muốn uống nước.
水果,shuǐguǒ,hoa quả,我喜欢吃水果。,Wǒ xǐhuan chī shuǐguǒ.,Tôi thích ăn hoa quả.
睡,shuì,ngủ,我想睡了。,Wǒ xiǎng shuì le.,Tôi muốn ngủ rồi.
睡觉,shuìjiào,ngủ,你几点睡觉？,Nǐ jǐ diǎn shuìjiào?,Bạn mấy giờ đi ngủ?
说,shuō,nói,请说！,Qǐng shuō!,Xin hãy nói!
说话,shuōhuà,nói chuyện,他在说话。,Tā zài shuōhuà.,Anh ấy đang nói chuyện.
四,sì,bốn,我有四本书。,Wǒ yǒu sì běn shū.,Tôi có bốn quyển sách.
送,sòng,tặng; tiễn,我送你回家。,Wǒ sòng nǐ huí jiā.,Tôi tiễn bạn về nhà.
岁,suì,tuổi,你几岁？,Nǐ jǐ suì?,Bạn mấy tuổi?
他,tā,anh ấy,他是我朋友。,Tā shì wǒ péngyou.,Anh ấy là bạn tôi.
他们,tā men,họ (nam),他们是学生。,Tāmen shì xuésheng.,Họ là học sinh.
她,tā,cô ấy,她是老师。,Tā shì lǎoshī.,Cô ấy là giáo viên.
她们,tā men,họ (nữ),她们是朋友。,Tāmen shì péngyou.,Họ là bạn bè.
太,tài,quá; lắm,太好了！,Tài hǎo le!,Tuyệt quá!
天,tiān,ngày; trời,今天天气好。,Jīntiān tiānqì hǎo.,Hôm nay thời tiết đẹp.
天气,tiānqì,thời tiết,天气怎么样？,Tiānqì zěnmeyàng?,Thời tiết thế nào?
听,tīng,nghe,我在听音乐。,Wǒ zài tīng yīnyuè.,Tôi đang nghe nhạc.
听到,tīng dào,nghe thấy,我听到了。,Wǒ tīngdào le.,Tôi nghe thấy rồi.
听见,tīng jiàn,nghe thấy,你听见了吗？,Nǐ tīngjiàn le ma?,Bạn nghe thấy chưa?
听写,tīng xiě,nghe viết,今天有听写。,Jīntiān yǒu tīngxiě.,Hôm nay có bài nghe viết.
同学,tóngxué,bạn học,他是我同学。,Tā shì wǒ tóngxué.,Anh ấy là bạn học của tôi.
图书馆,túshūguǎn,thư viện,图书馆在哪儿？,Túshūguǎn zài nǎr?,Thư viện ở đâu?
外,wài,ngoài; bên ngoài,外边很冷。,Wàibiān hěn lěng.,Bên ngoài rất lạnh.
外边,wài biān,bên ngoài,请到外边等。,Qǐng dào wàibiān děng.,Xin hãy đợi bên ngoài.
外国,wài guó,nước ngoài,他是外国人。,Tā shì wàiguó rén.,Anh ấy là người nước ngoài.
外语,wài yǔ,ngoại ngữ,我学外语。,Wǒ xué wàiyǔ.,Tôi học ngoại ngữ.
玩儿,wánr,chơi,我们去玩儿吧！,Wǒmen qù wánr ba!,Chúng ta đi chơi đi!
晚,wǎn,muộn,太晚了。,Tài wǎn le.,Quá muộn rồi.
晚饭,wǎn fàn,bữa tối,晚饭吃什么？,Wǎnfàn chī shénme?,Bữa tối ăn gì?
晚上,wǎnshang,buổi tối,晚上我在家。,Wǎnshang wǒ zài jiā.,Buổi tối tôi ở nhà.
网上,wǎng shàng,trên mạng,我在网上买的。,Wǒ zài wǎngshàng mǎi de.,Tôi mua trên mạng.
网友,wǎng yǒu,bạn trên mạng,他是我的网友。,Tā shì wǒ de wǎngyǒu.,Anh ấy là bạn mạng của tôi.
忘,wàng,quên,我忘了。,Wǒ wàng le.,Tôi quên rồi.
忘记,wàngjì,quên,别忘记！,Bié wàngjì!,Đừng quên!
问,wèn,hỏi,我想问你。,Wǒ xiǎng wèn nǐ.,Tôi muốn hỏi bạn.
我,wǒ,tôi,我是学生。,Wǒ shì xuésheng.,Tôi là học sinh.
我们,wǒmen,chúng tôi,我们是朋友。,Wǒmen shì péngyou.,Chúng tôi là bạn bè.
五,wǔ,năm,我有五本书。,Wǒ yǒu wǔ běn shū.,Tôi có năm quyển sách.
午饭,wǔ fàn,bữa trưa,午饭吃什么？,Wǔfàn chī shénme?,Bữa trưa ăn gì?
西,xī,tây,太阳从西边落。,Tàiyáng cóng xībiān luò.,Mặt trời lặn ở phía tây.
西边,xī biān,phía tây,学校在西边。,Xuéxiào zài xībiān.,Trường học ở phía tây.
洗,xǐ,rửa,我洗手。,Wǒ xǐ shǒu.,Tôi rửa tay.
洗手间,xǐshǒujiān,nhà vệ sinh,洗手间在哪儿？,Xǐshǒujiān zài nǎr?,Nhà vệ sinh ở đâu?
喜欢,xǐhuan,thích,我喜欢你。,Wǒ xǐhuan nǐ.,Tôi thích bạn.
下,xià,dưới; tiếp theo; đi xuống; xuống (xe),请下车。,Qǐng xiàchē.,Xin hãy xuống xe.
下班,xià bān,tan làm,我五点下班。,Wǒ wǔ diǎn xiàbān.,Tôi tan làm lúc 5 giờ.
下边,xià biān,bên dưới,书在下边。,Shū zài xiàbiān.,Sách ở bên dưới.
下车,xià chē,xuống xe,我们到了，请下车。,Wǒmen dào le, qǐng xiàchē.,Chúng ta đến rồi, xin xuống xe.
下次,xià cì,lần tới,下次再来！,Xiàcì zài lái!,Lần tới đến nữa nhé!
下课,xià kè,tan học,我们十二点下课。,Wǒmen shí'èr diǎn xiàkè.,Chúng tôi tan học lúc 12 giờ.
下午,xiàwǔ,buổi chiều,下午我去图书馆。,Xiàwǔ wǒ qù túshūguǎn.,Buổi chiều tôi đến thư viện.
下雨,xiàyǔ,mưa,今天下雨了。,Jīntiān xiàyǔ le.,Hôm nay mưa rồi.
先,xiān,trước,你先走。,Nǐ xiān zǒu.,Bạn đi trước.
先生,xiānsheng,ông; ngài,王先生好！,Wáng xiānsheng hǎo!,Chào ông Vương!
现在,xiànzài,bây giờ,现在几点？,Xiànzài jǐ diǎn?,Bây giờ mấy giờ?
想,xiǎng,nghĩ; muốn,我想回家。,Wǒ xiǎng huí jiā.,Tôi muốn về nhà.
小,xiǎo,nhỏ,这个房间很小。,Zhège fángjiān hěn xiǎo.,Phòng này rất nhỏ.
小孩儿,xiǎo háir,trẻ em; trẻ con,小孩儿在玩儿。,Xiǎoháir zài wánr.,Trẻ con đang chơi.
小姐,xiǎojiě,cô; tiểu thư,李小姐好！,Lǐ xiǎojiě hǎo!,Chào cô Lý!
小朋友,xiǎo péng yǒu,trẻ em; trẻ con,小朋友们好！,Xiǎopéngyoumen hǎo!,Chào các em nhỏ!
小时,xiǎoshí,giờ,我等了两个小时。,Wǒ děngle liǎng gè xiǎoshí.,Tôi đã đợi hai tiếng.
小学,xiǎo xué,trường tiểu học,她在小学工作。,Tā zài xiǎoxué gōngzuò.,Cô ấy làm việc ở trường tiểu học.
小学生,xiǎo xué shēng,học sinh tiểu học,他是小学生。,Tā shì xiǎoxuéshēng.,Anh ấy là học sinh tiểu học.
笑,xiào,cười,他笑了。,Tā xiào le.,Anh ấy cười rồi.
写,xiě,viết,请写你的名字。,Qǐng xiě nǐ de míngzi.,Xin hãy viết tên của bạn.
谢谢,xièxie,cảm ơn,谢谢你！,Xièxie nǐ!,Cảm ơn bạn!
新,xīn,mới,这是新书。,Zhè shì xīn shū.,Đây là sách mới.
新年,xīn nián,năm mới,新年快乐！,Xīnnián kuàilè!,Chúc mừng năm mới!
星期,xīngqī,tuần,一个星期有七天。,Yí gè xīngqī yǒu qī tiān.,Một tuần có bảy ngày.
星期日,xīng qī rì,chủ nhật,星期日我休息。,Xīngqīrì wǒ xiūxi.,Chủ nhật tôi nghỉ ngơi.
星期天,xīng qī tiān,chủ nhật,星期天你做什么？,Xīngqītiān nǐ zuò shénme?,Chủ nhật bạn làm gì?
行,xíng,được; ổn,行，没问题。,Xíng, méi wèntí.,Được, không vấn đề gì.
休息,xiūxi,nghỉ ngơi,请休息一下。,Qǐng xiūxi yíxià.,Xin hãy nghỉ ngơi một chút.
学,xué,học,我学汉语。,Wǒ xué Hànyǔ.,Tôi học tiếng Hán.
学生,xuésheng,học sinh,我是学生。,Wǒ shì xuésheng.,Tôi là học sinh.
学习,xuéxí,học tập,他学习很认真。,Tā xuéxí hěn rènzhēn.,Anh ấy học tập rất nghiêm túc.
学校,xuéxiào,trường học,学校在哪儿？,Xuéxiào zài nǎr?,Trường học ở đâu?
学院,xué yuàn,học viện; trường cao đẳng,他在学院工作。,Tā zài xuéyuàn gōngzuò.,Anh ấy làm việc ở học viện.
要（动）,yào,muốn,我要喝水。,Wǒ yào hē shuǐ.,Tôi muốn uống nước.
爷爷,yéye,ông nội,爷爷在家。,Yéye zài jiā.,Ông nội ở nhà.
也,yě,cũng,我也是学生。,Wǒ yě shì xuésheng.,Tôi cũng là học sinh.
页,yè,trang,请看第十页。,Qǐng kàn dì shí yè.,Xin hãy xem trang mười.
一,yī,một,我有一本书。,Wǒ yǒu yì běn shū.,Tôi có một quyển sách.
衣服,yīfu,quần áo,这件衣服很好看。,Zhè jiàn yīfu hěn hǎokàn.,Chiếc áo này rất đẹp.
医生,yīshēng,bác sĩ,他是医生。,Tā shì yīshēng.,Anh ấy là bác sĩ.
医院,yīyuàn,bệnh viện,医院在哪儿？,Yīyuàn zài nǎr?,Bệnh viện ở đâu?
一半,yí bàn,một nửa,我吃了一半。,Wǒ chīle yíbàn.,Tôi ăn được một nửa.
一会儿,yíhuìr,một lát,请等一会儿。,Qǐng děng yíhuìr.,Xin đợi một lát.
一块儿,yí kuàir,cùng nhau,我们一块儿去吧。,Wǒmen yíkuàir qù ba.,Chúng ta cùng đi nhé.
一下儿,yí xiàr,một chút,请等一下儿。,Qǐng děng yíxiàr.,Xin đợi một chút.
一样,yíyàng,giống nhau,我们一样高。,Wǒmen yíyàng gāo.,Chúng ta cao giống nhau.
一边,yìbiān,một bên,请站在一边。,Qǐng zhàn zài yìbiān.,Xin hãy đứng một bên.
一点儿,yīdiǎnr,một chút,我想吃一点儿。,Wǒ xiǎng chī yìdiǎnr.,Tôi muốn ăn một chút.
一起,yìqǐ,cùng nhau,我们一起去吧！,Wǒmen yìqǐ qù ba!,Chúng ta cùng đi nhé!
一些,yì xiē,một vài,我要买一些水果。,Wǒ yào mǎi yìxiē shuǐguǒ.,Tôi muốn mua một ít hoa quả.
用,yòng,dùng,请用这个。,Qǐng yòng zhège.,Xin hãy dùng cái này.
有,yǒu,có,我有一本书。,Wǒ yǒu yì běn shū.,Tôi có một quyển sách.
有的,yǒu de,một số,有的人喜欢。,Yǒude rén xǐhuan.,Một số người thích.
有名,yǒumíng,nổi tiếng,他很有名。,Tā hěn yǒumíng.,Anh ấy rất nổi tiếng.
有时候｜有时,yǒu shí hòu ｜ yǒu shí,đôi khi,有时候我去跑步。,Yǒushíhou wǒ qù pǎobù.,Đôi khi tôi đi chạy bộ.
有（一）些,yǒu （ yì ） xiē,một số,有些事我不知道。,Yǒuxiē shì wǒ bù zhīdào.,Có một số việc tôi không biết.
有用,yǒu yòng,hữu ích,这本书很有用。,Zhè běn shū hěn yǒuyòng.,Quyển sách này rất hữu ích.
右,yòu,phải,请往右转。,Qǐng wǎng yòu zhuǎn.,Xin rẽ phải.
右边,yòubian,bên phải,学校在右边。,Xuéxiào zài yòubiān.,Trường học ở bên phải.
雨,yǔ,mưa,今天有雨。,Jīntiān yǒu yǔ.,Hôm nay có mưa.
元,yuán,tệ (đơn vị tiền tệ),这本书十元。,Zhè běn shū shí yuán.,Quyển sách này mười tệ.
远,yuǎn,xa,学校很远。,Xuéxiào hěn yuǎn.,Trường học rất xa.
月,yuè,tháng,现在是五月。,Xiànzài shì wǔ yuè.,Bây giờ là tháng năm.
再,zài,lại; nữa,请再说一次。,Qǐng zài shuō yí cì.,Xin nói lại một lần nữa.
再见,zàijiàn,tạm biệt,再见！,Zàijiàn!,Tạm biệt!
在,zài,ở; đang,我在家。,Wǒ zài jiā.,Tôi ở nhà.
在家,zài jiā,ở nhà,你在家吗？,Nǐ zài jiā ma?,Bạn ở nhà không?
早,zǎo,sớm,太早了。,Tài zǎo le.,Quá sớm rồi.
早饭,zǎo fàn,bữa sáng,早饭吃什么？,Zǎofàn chī shénme?,Bữa sáng ăn gì?
早上,zǎoshang,buổi sáng,早上好！,Zǎoshang hǎo!,Chào buổi sáng!
怎么,zěnme,thế nào; làm sao,你怎么了？,Nǐ zěnme le?,Bạn làm sao vậy?
站（名）,zhàn,trạm; ga,火车站在哪儿？,Huǒchēzhàn zài nǎr?,Ga tàu ở đâu?
找,zhǎo,tìm,我在找书。,Wǒ zài zhǎo shū.,Tôi đang tìm sách.
找到,zhǎo dào,tìm thấy,我找到了。,Wǒ zhǎodào le.,Tôi tìm thấy rồi.
这,zhè,đây (ở đây),这是什么？,Zhè shì shénme?,Đây là cái gì?
这边,zhè biān,ở đây,请到这边来。,Qǐng dào zhèbiān lái.,Xin hãy đến đây.
这里,zhè lǐ,ở đây,我住在这里。,Wǒ zhù zài zhèlǐ.,Tôi sống ở đây.
这儿,zhèr,ở đây,请坐这儿。,Qǐng zuò zhèr.,Xin ngồi ở đây.
这些,zhè xiē,những cái này,这些是我的书。,Zhèxiē shì wǒ de shū.,Những cái này là sách của tôi.
着,zhe,đang (biểu thị trạng thái đang diễn ra),他站着。,Tā zhànzhe.,Anh ấy đang đứng.
真,zhēn,thật,真的吗？,Zhēn de ma?,Thật không?
真的,zhēn de,thật sự,这是真的。,Zhè shì zhēn de.,Đây là thật sự.
正（副）,zhèng,vừa; chính xác,我正在吃饭。,Wǒ zhèngzài chīfàn.,Tôi đang ăn cơm.
正在,zhèngzài,đang,他正在学习。,Tā zhèngzài xuéxí.,Anh ấy đang học tập.
知道,zhīdào,biết,我知道了。,Wǒ zhīdào le.,Tôi biết rồi.
知识,zhīshi,kiến thức,他有很多知识。,Tā yǒu hěn duō zhīshi.,Anh ấy có nhiều kiến thức.
中,zhōng,giữa; trong,在中间。,Zài zhōngjiān.,Ở giữa.
中国,zhōngguó,Trung Quốc,我去中国。,Wǒ qù Zhōngguó.,Tôi đi Trung Quốc.
中间,zhōngjiān,ở giữa,他站在中间。,Tā zhàn zài zhōngjiān.,Anh ấy đứng ở giữa.
中文,zhōngwén,tiếng Trung,我学中文。,Wǒ xué Zhōngwén.,Tôi học tiếng Trung.
中午,zhōngwǔ,buổi trưa,中午我吃饭。,Zhōngwǔ wǒ chīfàn.,Buổi trưa tôi ăn cơm.
中学,zhōng xué,trường cấp hai,他在中学学习。,Tā zài zhōngxué xuéxí.,Anh ấy học ở trường cấp hai.
中学生,zhōng xué shēng,học sinh cấp hai,他是中学生。,Tā shì zhōngxuéshēng.,Anh ấy là học sinh cấp hai.
重,zhòng,nặng,这个箱子很重。,Zhège xiāngzi hěn zhòng.,Cái hòm này rất nặng.
重要,zhòngyào,quan trọng,这很重要。,Zhè hěn zhòngyào.,Điều này rất quan trọng.
住,zhù,sống; ở,你住在哪儿？,Nǐ zhù zài nǎr?,Bạn sống ở đâu?
准备,zhǔnbèi,chuẩn bị,我在准备考试。,Wǒ zài zhǔnbèi kǎoshì.,Tôi đang chuẩn bị thi.
桌子,zhuōzi,cái bàn,书在桌子上。,Shū zài zhuōzi shàng.,Sách ở trên bàn.
字,zì,chữ,这个字怎么写？,Zhège zì zěnme xiě?,Chữ này viết thế nào?
子（桌子）,zi （ zhuō zi ）,hậu tố danh từ (bàn),桌子在那儿。,Zhuōzi zài nàr.,Cái bàn ở đằng kia.
走,zǒu,đi,我们走吧！,Wǒmen zǒu ba!,Chúng ta đi thôi!
走路,zǒu lù,đi bộ,我喜欢走路。,Wǒ xǐhuan zǒulù.,Tôi thích đi bộ.
最,zuì,nhất,他最高。,Tā zuì gāo.,Anh ấy cao nhất.
最好,zuìhǎo,tốt nhất,这个最好。,Zhège zuìhǎo.,Cái này tốt nhất.
最后,zuìhòu,cuối cùng,最后一个问题。,Zuìhòu yí gè wèntí.,Câu hỏi cuối cùng.
昨天,zuótiān,hôm qua,昨天我去北京了。,Zuótiān wǒ qù Běijīng le.,Hôm qua tôi đã đi Bắc Kinh.
左,zuǒ,trái,请往左转。,Qǐng wǎng zuǒ zhuǎn.,Xin rẽ trái.
左边,zuǒbian,bên trái,学校在左边。,Xuéxiào zài zuǒbiān.,Trường học ở bên trái.
坐,zuò,ngồi,请坐！,Qǐng zuò!,Mời ngồi!
坐下,zuò xià,ngồi xuống,请坐下！,Qǐng zuòxià!,Xin hãy ngồi xuống!
做,zuò,làm,你在做什么？,Nǐ zài zuò shénme?,Bạn đang làm gì?
